Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,LeadTime,Cluster
1,US-2021-103800-CHO-MIL-31000,03-01-2024,30-06-2026,3,103800,United States,Houston,Texas,77095,0,2,CHO-MIL-31000,9,6.5,2,4.22,2.28,7,0
2,US-2021-112326-CHO-TRI-54000,04-01-2024,01-07-2026,3,112326,United States,Naperville,Illinois,60540,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,4,0
3,US-2021-112326-CHO-NUT-13000,04-01-2024,01-07-2026,3,112326,United States,Naperville,Illinois,60540,0,2,CHO-NUT-13000,10,10.47,3,7.47,3.0,5,0
4,US-2021-112326-CHO-SCR-58000,04-01-2024,01-07-2026,3,112326,United States,Naperville,Illinois,60540,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,7,0
5,US-2021-141817-CHO-TRI-54000,05-01-2024,05-07-2026,3,141817,United States,Philadelphia,Pennsylvania,19143,0,0,CHO-TRI-54000,11,11.25,3,7.35,3.9,3,0
6,US-2021-167199-CHO-SCR-58000,06-01-2024,03-07-2026,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-SCR-58000,12,32.4,9,22.5,9.9,5,1
7,US-2021-167199-CHO-TRI-54000,06-01-2024,03-07-2026,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-TRI-54000,11,7.5,2,4.9,2.6,5,0
8,US-2021-106054-CHO-MIL-31000,06-01-2024,30-06-2026,0,106054,United States,Athens,Georgia,30605,0,1,CHO-MIL-31000,9,9.75,3,6.33,3.42,7,0
9,US-2021-167199-CHO-NUT-13000,06-01-2024,03-07-2026,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-NUT-13000,10,6.98,2,4.98,2.0,2,0
10,US-2021-167199-CHO-MIL-31000,06-01-2024,03-07-2026,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-MIL-31000,9,13.0,4,8.44,4.56,3,2
11,US-2021-167199-CHO-MIL-31000,06-01-2024,03-07-2026,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-MIL-31000,9,3.25,1,2.11,1.14,7,0
12,US-2021-130813-CHO-MIL-31000,06-01-2024,01-07-2026,2,130813,United States,Los Angeles,California,90049,0,3,CHO-MIL-31000,9,9.75,3,6.33,3.42,3,0
13,US-2021-167199-CHO-SCR-58000,06-01-2024,03-07-2026,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-SCR-58000,12,14.4,4,10.0,4.4,3,2
